,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Wanning,CN,67.96,overcast clouds,18.8003,110.3967,
3,Samarai,PG,84.25,overcast clouds,-10.6167,150.6667,
5,Atuona,PF,78.26,light rain,-9.8,-139.0333,
7,Upington,ZA,68.38,scattered clouds,-28.4478,21.2561,
8,Hermanus,ZA,66.9,broken clouds,-34.4187,19.2345,
11,Kapaa,US,75.18,clear sky,22.0752,-159.319,
21,Kalmunai,LK,81.16,broken clouds,7.4167,81.8167,
22,Esperance,AU,72.73,overcast clouds,-33.8667,121.9,
23,Thinadhoo,MV,83.07,broken clouds,0.5333,72.9333,
26,Teknaf,BD,77.07,overcast clouds,20.8624,92.3058,
28,New Norfolk,AU,70.75,clear sky,-42.7826,147.0587,
30,Sungairaya,ID,83.77,broken clouds,0.7,108.9,
31,Manokwari,ID,83.08,broken clouds,-0.8667,134.0833,
34,Butaritari,KI,81.93,light rain,3.0707,172.7902,
35,Rikitea,PF,77.32,few clouds,-23.1203,-134.9692,
39,Pisco,PE,68.05,clear sky,-13.7,-76.2167,
44,Ewa Beach,US,75.43,moderate rain,21.3156,-158.0072,
48,Hobart,AU,71.11,few clouds,-42.8794,147.3294,
49,Vaini,TO,75.36,moderate rain,-21.2,-175.2,
54,Port Lincoln,AU,78.93,clear sky,-34.7333,135.8667,
58,Puerto Ayora,EC,71.82,scattered clouds,-0.7393,-90.3518,
60,Pandan,PH,81.09,broken clouds,14.0453,124.1694,
63,Pochutla,MX,74.25,overcast clouds,15.7432,-96.4661,
66,Garissa,KE,77.52,scattered clouds,-0.4536,39.6401,
69,Sechura,PE,70.43,clear sky,-5.5569,-80.8222,
70,Ngunguru,NZ,76.15,scattered clouds,-35.6167,174.5,
80,Cape Town,ZA,67.12,broken clouds,-33.9258,18.4232,
83,Ligayan,PH,82.56,overcast clouds,4.6533,119.4706,
86,Prabumulih,ID,78.21,overcast clouds,-3.45,104.25,
87,Port-Gentil,GA,79.41,light rain,-0.7193,8.7815,
90,Odienne,CI,66.83,overcast clouds,9.51,-7.5692,
92,Tanda,IN,67.98,few clouds,26.55,82.65,
96,Aripuana,BR,71.38,overcast clouds,-9.1667,-60.6333,
97,Ler,SS,83.07,overcast clouds,8.3018,30.1418,
